country_code,year,total_students,academic_personnel_fte,total_personnel_fte,student_staff_ratio,total_revenues_eur,total_revenues_ppp,total_expenditure_eur,total_expenditure_ppp,revenue_per_student_eur,revenue_per_student_ppp,expenditure_per_student_eur,expenditure_per_student_ppp,third_party_funding_ppp,third_party_funding_per_student_ppp,rd_expenditure_ppp,rd_expenditure_per_student_ppp,rd_expenditure_share_of_expenditure_ppp,student_staff_ratio_aggregate_unmatched,student_staff_ratio_pair_numerator,student_staff_ratio_pair_denominator,student_staff_ratio_pair_records,student_staff_ratio_pair_institutions,student_staff_ratio_pair_record_coverage,student_staff_ratio_denominator_coverage,revenue_per_student_eur_aggregate_unmatched,revenue_per_student_eur_pair_numerator,revenue_per_student_eur_pair_denominator,revenue_per_student_eur_pair_records,revenue_per_student_eur_pair_institutions,revenue_per_student_eur_pair_record_coverage,revenue_per_student_eur_denominator_coverage,revenue_per_student_ppp_aggregate_unmatched,revenue_per_student_ppp_pair_numerator,revenue_per_student_ppp_pair_denominator,revenue_per_student_ppp_pair_records,revenue_per_student_ppp_pair_institutions,revenue_per_student_ppp_pair_record_coverage,revenue_per_student_ppp_denominator_coverage,expenditure_per_student_eur_aggregate_unmatched,expenditure_per_student_eur_pair_numerator,expenditure_per_student_eur_pair_denominator,expenditure_per_student_eur_pair_records,expenditure_per_student_eur_pair_institutions,expenditure_per_student_eur_pair_record_coverage,expenditure_per_student_eur_denominator_coverage,expenditure_per_student_ppp_aggregate_unmatched,expenditure_per_student_ppp_pair_numerator,expenditure_per_student_ppp_pair_denominator,expenditure_per_student_ppp_pair_records,expenditure_per_student_ppp_pair_institutions,expenditure_per_student_ppp_pair_record_coverage,expenditure_per_student_ppp_denominator_coverage,third_party_funding_per_student_ppp_aggregate_unmatched,third_party_funding_per_student_ppp_pair_numerator,third_party_funding_per_student_ppp_pair_denominator,third_party_funding_per_student_ppp_pair_records,third_party_funding_per_student_ppp_pair_institutions,third_party_funding_per_student_ppp_pair_record_coverage,third_party_funding_per_student_ppp_denominator_coverage,rd_expenditure_per_student_ppp_aggregate_unmatched,rd_expenditure_per_student_ppp_pair_numerator,rd_expenditure_per_student_ppp_pair_denominator,rd_expenditure_per_student_ppp_pair_records,rd_expenditure_per_student_ppp_pair_institutions,rd_expenditure_per_student_ppp_pair_record_coverage,rd_expenditure_per_student_ppp_denominator_coverage,rd_expenditure_share_of_expenditure_ppp_aggregate_unmatched,rd_expenditure_share_of_expenditure_ppp_pair_numerator,rd_expenditure_share_of_expenditure_ppp_pair_denominator,rd_expenditure_share_of_expenditure_ppp_pair_records,rd_expenditure_share_of_expenditure_ppp_pair_institutions,rd_expenditure_share_of_expenditure_ppp_pair_record_coverage,rd_expenditure_share_of_expenditure_ppp_denominator_coverage
AT,2017,363616.25019841,24167.562700000002,47659.248,15.045631812860051,3983896070.9400005,3530852399.5533133,3811716225.54,3378252630.518209,14511.049090518465,12860.870762927263,13883.89663862035,12305.037302355162,634355301.1672323,2310.592633983139,2035504.4269748563,7.414175505042849,0.000602531737439251,15.045631812860051,363616.25019841,24167.562700000002,70,70,1.0,1.0,10956.32021056858,3983896070.9400005,274542.25025970605,22,22,0.3142857142857143,0.7550329505623029,9710.381198933426,3530852399.5533133,274542.25025970605,22,22,0.3142857142857143,0.7550329505623029,10482.799444359562,3811716225.54,274542.25025970605,22,22,0.3142857142857143,0.7550329505623029,9290.708621176416,3378252630.518209,274542.25025970605,22,22,0.3142857142857143,0.7550329505623029,1744.5735739838124,634355301.1672323,274542.25025970605,22,22,0.3142857142857143,0.7550329505623029,5.5979468075592544,2035504.4269748563,274542.25025970605,22,22,0.3142857142857143,0.7550329505623029,0.000602531737439251,2035504.4269748563,3378252630.518209,22,22,0.3142857142857143,1.0
AT,2018,357628.380952383,24910.1488,49048.42360000001,14.356734029319929,4177365546.2099996,3701074295.165191,4013778356.619999,3556138848.239995,15465.023990079215,13701.74626343745,14859.40789460146,13165.180780020612,663889013.9365106,2457.783359800334,,,,14.356734029319929,357628.380952383,24910.1488,70,70,1.0,1.0,11680.743947349642,4177365546.2099996,270116.978084856,22,22,0.3142857142857143,0.7553007324684927,10348.938988871738,3701074295.165191,270116.978084856,22,22,0.3142857142857143,0.7553007324684927,11223.321666840586,4013778356.619999,270116.978084856,22,22,0.3142857142857143,0.7553007324684927,9943.67068622969,3556138848.239995,270116.978084856,22,22,0.3142857142857143,0.7553007324684927,1856.365571906065,663889013.9365106,270116.978084856,22,22,0.3142857142857143,0.7553007324684927,,,,0,0,0.0,,,,,0,0,0.0,
AT,2019,357818.26190475497,22500.688446,47096.83534600001,15.902547282652819,4329073201.130001,3813388653.515147,4201726005.1899996,3701211212.8731627,16323.923206709243,14379.39730865925,15843.726695693511,13956.402399243778,688366424.6628437,2595.6688954439846,2150187.186737489,8.107853317701137,0.000580941498085528,15.902547282652819,357818.26190475497,22500.688446,72,72,1.0,1.0,12098.52503917848,4329073201.130001,265198.086655463,22,22,0.3055555555555556,0.7411530234475683,10657.33379066663,3813388653.515147,265198.086655463,22,22,0.3055555555555556,0.7411530234475683,11742.625943190194,4201726005.1899996,265198.086655463,22,22,0.3055555555555556,0.7411530234475683,10343.829834650422,3701211212.8731627,265198.086655463,22,22,0.3055555555555556,0.7411530234475683,1923.7878497271192,688366424.6628437,265198.086655463,22,22,0.3055555555555556,0.7411530234475683,6.009160000083594,2150187.186737489,265198.086655463,22,22,0.3055555555555556,0.7411530234475683,0.000580941498085528,2150187.186737489,3701211212.8731627,22,22,0.3055555555555556,1.0
AT,2020,372918.84999998996,23464.2828,49172.65580000001,15.893042765406406,4429607399.85,3882725511.548407,4283403575.2400002,3754572095.577859,16312.654096884427,14298.684399250056,15774.237889031503,13826.741367429113,664935241.1710566,2448.7178223558094,,,,15.893042765406406,372918.84999998996,23464.2828,73,73,1.0,1.0,11878.20728249623,4429607399.85,271544.2486269611,22,22,0.3013698630136986,0.7281590850850483,10411.716950077776,3882725511.548407,271544.2486269611,22,22,0.3013698630136986,0.7281590850850483,11486.154629191084,4283403575.2400002,271544.2486269611,22,22,0.3013698630136986,0.7281590850850483,10068.067343814773,3754572095.577859,271544.2486269611,22,22,0.3013698630136986,0.7281590850850483,1783.0561291580582,664935241.1710566,271544.2486269611,22,22,0.3013698630136986,0.7281590850850483,,,,0,0,0.0,,,,,0,0,0.0,
AT,2021,374179.787698408,24153.603666666666,50596.263166666664,15.491675398102073,4731879373.9,4190136611.4107094,4496352412.799999,3981574629.0146914,17751.00297571487,15718.728560170437,16867.455561043276,14936.336601796955,758677584.1192256,2846.0759434382726,2409215.524798767,9.037844917545687,0.0006050911383758161,15.491675398102073,374179.787698408,24153.603666666666,73,73,1.0,1.0,12646.004753506177,4731879373.9,266569.69075909,22,22,0.3013698630136986,0.7124107167807454,11198.190680432996,4190136611.4107094,266569.69075909,22,22,0.3013698630136986,0.7124107167807454,12016.556106510212,4496352412.799999,266569.69075909,22,22,0.3013698630136986,0.7124107167807454,10640.806264564651,3981574629.0146914,266569.69075909,22,22,0.3013698630136986,0.7124107167807454,2027.575002877296,758677584.1192256,266569.69075909,22,22,0.3013698630136986,0.7124107167807454,6.43865757586194,2409215.524798767,266569.69075909,22,22,0.3013698630136986,0.7124107167807454,0.0006050911383758161,2409215.524798767,3981574629.0146914,22,22,0.3013698630136986,1.0
AT,2022,372900.51428570005,23825.4962,50870.15640000001,15.651322060847573,4886550764.299999,4387436040.349806,4712638863.12,4231287587.2001147,18636.08943671671,16732.589998488646,17972.832693703178,16137.078628881605,791877370.1695158,3020.023367240132,,,,15.651322060847573,372900.51428570005,23825.4962,74,74,1.0,1.0,13104.167404167585,4886550764.299999,262209.020883563,22,22,0.2972972972972973,0.7031607917887448,11765.701232013707,4387436040.349806,262209.020883563,22,22,0.2972972972972973,0.7031607917887448,12637.791267590965,4712638863.12,262209.020883563,22,22,0.2972972972972973,0.7031607917887448,11346.960985841622,4231287587.2001147,262209.020883563,22,22,0.2972972972972973,0.7031607917887448,2123.562022129082,791877370.1695158,262209.020883563,22,22,0.2972972972972973,0.7031607917887448,,,,0,0,0.0,,,,,0,0,0.0,
AT,2023,380064.1666666621,23552.238299999997,51692.7867,16.13707206192212,5342004968.299999,4735400202.375676,5235187395.0599985,4640712166.52779,20384.608857483847,18069.859815161642,19977.00263799806,17708.538815706113,854993884.0705609,3262.5795007198694,2813282.5104157436,10.735232168583149,0.0006062178410260378,16.13707206192212,380064.1666666621,23552.238299999997,76,76,1.0,1.0,14055.534398709156,5342004968.299999,262060.704997966,22,22,0.2894736842105263,0.6895170026060577,12459.47557726191,4735400202.375676,262060.704997966,22,22,0.2894736842105263,0.6895170026060577,13774.48298000573,5235187395.0599985,262060.704997966,22,22,0.2894736842105263,0.6895170026060577,12210.338604738707,4640712166.52779,262060.704997966,22,22,0.2894736842105263,0.6895170026060577,2249.6040381003327,854993884.0705609,262060.704997966,22,22,0.2894736842105263,0.6895170026060577,7.402125107161583,2813282.5104157436,262060.704997966,22,22,0.2894736842105263,0.6895170026060577,0.0006062178410260378,2813282.5104157436,4640712166.52779,22,22,0.2894736842105263,1.0
BE,2014,245180.0,23425.0,33240.0,10.387833511205976,2980523927.86,2669643896.152985,2658103935.39,2380853540.588473,12248.644575831673,10971.06415498381,10923.639983520663,9784.26260335945,777726870.6704288,3196.115933467971,,,,10.466595517609392,243335.0,23425.0,22,22,0.3384615384615385,1.0,12156.472501264378,2980523927.86,243335.0,22,22,0.3384615384615385,0.9924749163879598,10888.5059799045,2669643896.152985,243335.0,22,22,0.3384615384615385,0.9924749163879598,10841.438679296843,2658103935.3900003,243335.0,22,22,0.3384615384615385,0.9924749163879598,9710.635209187018,2380853540.588472,243335.0,22,22,0.3384615384615385,0.9924749163879598,3172.064893834851,777726870.6704288,243335.0,22,22,0.3384615384615385,0.9924749163879598,,,,0,0,0.0,,,,,0,0,0.0,
BE,2015,249010.0,23380.0,33305.0,10.571856287425149,3071408124.45,2760543339.040634,2744734580.0699997,2466933229.136894,12426.298193348708,11168.601930010254,11104.642877655057,9980.714605886209,882455028.1410377,3570.235174742234,,,,10.650556030795551,247170.0,23380.0,21,21,0.328125,1.0,12334.477026826231,3071408124.4500003,247170.0,21,21,0.328125,0.9926107385245573,11086.074210034272,2760543339.0406346,247170.0,21,21,0.328125,0.9926107385245573,11022.587767840647,2744734580.07,247170.0,21,21,0.328125,0.9926107385245573,9906.964495951544,2466933229.136894,247170.0,21,21,0.328125,0.9926107385245573,3543.8537735072396,882455028.141038,247170.0,21,21,0.328125,0.9926107385245573,,,,0,0,0.0,,,,,0,0,0.0,
BE,2016,242920.0,23570.0,33755.0,10.306321595248196,3119534017.04,2774571537.7513714,2788881367.77,2480482925.6268177,12931.514983480838,11501.529785277307,11560.848831098307,10282.433832681068,863945935.3125862,3581.345722273244,,,,10.306321595248196,242920.0,23570.0,22,22,0.3492063492063492,1.0,12841.816305944343,3119534017.04,241235.0,21,21,0.3333333333333333,0.9930635600197596,11421.750114240784,2774571537.7513714,241235.0,21,21,0.3333333333333333,0.9930635600197596,11480.65769706076,2788881367.77,241235.0,21,21,0.3333333333333333,0.9930635600197596,10211.110347549884,2480482925.6268177,241235.0,21,21,0.3333333333333333,0.9930635600197596,3556.5039326222054,863945935.3125861,241235.0,21,21,0.3333333333333333,0.9930635600197596,,,,0,0,0.0,,,,,0,0,0.0,
