country_code,year,records_count,institutions_count,institutions_with_student_data,institutions_with_funding_ppp_data,institutions_with_funding_eur_data,median_students_per_institution,median_funding_per_student_ppp,median_funding_per_student_eur,student_data_coverage,funding_ppp_data_coverage
LT,2019,36,36,30,23,23,1432.5,4632.33904196184,3075.5905511811015,0.8333333333333334,0.6388888888888888
LT,2020,36,36,26,20,20,1380.0,4071.699303705278,2762.7253398508014,0.7222222222222222,0.5555555555555556
LT,2021,35,35,25,13,13,1310.0,4630.758558329264,3193.9129005751847,0.7142857142857143,0.37142857142857144
LT,2022,35,35,29,25,25,1400.0,5648.037296688905,4279.0151843817775,0.8285714285714286,0.7142857142857143
LT,2023,34,34,28,23,23,1515.0,5387.1956429316,4233.86170212766,0.8235294117647058,0.6764705882352942
LU,2014,1,1,1,1,1,5085.0,26824.05748512937,33088.54787020649,1.0,1.0
LU,2015,2,2,1,1,1,5055.0,30113.106148530103,36907.52628882295,0.5,0.5
LU,2016,2,2,1,1,1,5140.0,29835.111660558825,36588.88588715954,0.5,0.5
LU,2017,3,3,1,1,1,6244.0,26927.01701665004,33255.6738260733,0.3333333333333333,0.3333333333333333
LU,2018,3,3,1,1,1,6283.0,27355.279545205212,34242.518276301525,0.3333333333333333,0.3333333333333333
LU,2019,3,3,1,1,1,6615.0,27693.105904913482,35316.74102947712,0.3333333333333333,0.3333333333333333
LU,2020,3,3,1,1,1,6785.0,27444.297558508533,36008.29061164112,0.3333333333333333,0.3333333333333333
LU,2021,3,3,1,1,1,6859.0,29371.59638950477,38417.16692958056,0.3333333333333333,0.3333333333333333
LU,2022,3,3,1,1,1,7132.0,31601.47791711488,40936.55449383062,0.3333333333333333,0.3333333333333333
LU,2023,3,3,1,1,1,7535.0,32813.26352295299,42419.01828666225,0.3333333333333333,0.3333333333333333
LV,2014,45,45,44,29,29,852.5,3372.677392742374,2341.2721739130434,0.9777777777777777,0.6444444444444445
LV,2015,44,44,43,28,28,825.0,3473.662512377378,2403.777932227658,0.9772727272727273,0.6363636363636364
LV,2016,44,44,43,27,27,790.0,3775.7523094557123,2633.6854054054056,0.9772727272727273,0.6136363636363636
LV,2017,42,42,41,28,28,768.0,3930.435728209698,2772.6079713936856,0.9761904761904762,0.6666666666666666
LV,2018,41,41,40,27,27,765.5,4286.581133656443,3096.9176984705027,0.975609756097561,0.6585365853658537
LV,2019,41,41,40,27,27,703.0,5147.269933764957,3797.2491228070176,0.975609756097561,0.6585365853658537
LV,2020,41,41,40,27,27,668.5,4795.929887016469,3526.0204081632655,0.975609756097561,0.6585365853658537
LV,2021,41,41,40,26,26,660.0,5786.814898058044,4210.40550441846,0.975609756097561,0.6341463414634146
LV,2022,40,40,39,25,25,648.0,6535.922252219054,5014.196153846154,0.975,0.625
LV,2023,42,42,26,24,24,611.5,6320.913434454222,4967.896630155559,0.6190476190476191,0.5714285714285714
ME,2014,10,10,0,0,0,,,,0.0,0.0
ME,2015,10,10,0,0,0,,,,0.0,0.0
ME,2016,10,10,0,0,0,,,,0.0,0.0
ME,2022,7,7,4,4,4,562.5,6800.281881636442,3743.6707806328495,0.5714285714285714,0.5714285714285714
MK,2014,13,13,9,0,0,3521.0,,,0.6923076923076923,0.0
MK,2015,14,14,9,0,0,1985.0,,,0.6428571428571429,0.0
MK,2016,16,16,15,0,0,708.0,,,0.9375,0.0
MK,2017,17,17,16,0,0,733.0,,,0.9411764705882353,0.0
MK,2018,17,17,15,0,0,917.0,,,0.8823529411764706,0.0
MK,2019,17,17,16,0,0,780.5,,,0.9411764705882353,0.0
MT,2014,2,2,2,2,2,6402.5,5854.775147260212,4789.668597695488,1.0,1.0
MT,2015,2,2,2,2,2,6455.0,6043.051990290251,5040.159168085661,1.0,1.0
