country_code,year,records,institutions_count,total_students,students_isced5_7_total,students_isced8,mean_observed_institution_size,median_institution_size,min_institution_size,max_institution_size,foreign_students,academic_personnel_fte,total_personnel_fte,total_current_revenues_eur,total_current_expenditure_eur,total_current_revenues_ppp,total_current_expenditure_ppp,institutions_with_student_data,student_coverage_share,avg_observed_institution_size,students_per_registered_institution,avg_institution_size,foreign_students_share,student_staff_ratio,revenue_per_student_eur,expenditure_per_student_eur,revenue_per_student_ppp,expenditure_per_student_ppp
CH,2017,36,36,247828.0,222622.0,25206.0,6884.111111111111,2844.5,180.0,26433.0,62376.0,41088.98,60532.05,9965849030.66295,9955647672.543852,6407140054.123076,6400581503.014162,36,1.0,6884.111111111111,6884.111111111111,6884.111111111111,0.2516906887034556,6.031495549414952,40212.764621685004,40171.60156456838,25853.172579866183,25826.708455114684
CH,2018,36,36,252449.0,226982.0,25467.0,7012.472222222223,2909.0,181.0,26556.0,63898.0,41919.91,61798.62,9860509557.23636,9869738540.259737,6551400168.321262,6557531977.2893305,36,1.0,7012.472222222223,7012.472222222223,7012.472222222223,0.25311250985347533,6.022174188828172,39059.41222677199,39095.970038541396,25951.380945542514,25975.670243452463
CH,2019,36,36,257996.0,232043.0,25953.0,7166.555555555556,3006.5,179.0,27280.0,66250.0,42828.0,63216.380000000005,10472889907.815535,10481007529.051382,6682791006.346621,6687970891.427566,36,1.0,7166.555555555556,7166.555555555556,7166.555555555556,0.25678692692909966,6.024002988698982,40593.225894260126,40624.69003027715,25902.69231440263,25922.76969963707
CH,2020,37,37,270398.0,243742.0,26656.0,7308.054054054054,3206.0,195.0,28502.0,70315.0,27640.960000000003,64756.46,10968301851.289118,10964379643.624475,6789544763.267914,6787116857.392331,37,1.0,7308.054054054054,7308.054054054054,7308.054054054054,0.2600426038654132,9.782511171826158,40563.54651768548,40549.041204537294,25109.448898541832,25100.469890281478
CH,2021,37,37,276529.0,249261.0,27268.0,7473.756756756757,3282.0,187.0,28988.0,74429.0,28569.0,66950.55,11204300713.690683,11188631846.637686,7311945853.900156,7301720324.399372,37,1.0,7473.756756756757,7473.756756756757,7473.756756756757,0.26915441056815015,9.679337743708215,40517.63364309235,40460.97098907415,26441.877177077833,26404.899031925666
CH,2022,38,38,274838.0,247497.0,27341.0,7232.578947368421,3227.0,103.0,28677.0,76249.0,29079.309999999994,67901.37,12504039298.478155,12514529440.888826,8124431406.053805,8131247318.929704,38,1.0,7232.578947368421,7232.578947368421,7232.578947368421,0.2774325238867988,9.451324670358412,45496.03511333278,45534.20357042631,29560.800930198173,29585.600677234237
CH,2023,43,43,276406.0,249340.0,27066.0,6428.046511627907,2631.0,120.0,28812.0,78543.0,29533.21,69099.70999999999,13331263961.392263,13366243210.372505,8515731077.655882,8538075086.331786,43,1.0,6428.046511627907,6428.046511627907,6428.046511627907,0.2841580862933511,9.35915872334907,48230.73291242688,48357.28316452069,30808.777948582454,30889.615588416265
CY,2014,23,23,35370.0,34260.0,1110.0,1537.8260869565217,425.0,0.0,7630.0,12545.0,1975.0,3430.0,224452073.0,191350310.0,236683397.6223266,201777782.23008642,23,1.0,1537.8260869565217,1537.8260869565217,1537.8260869565217,0.3546791065875035,17.90886075949367,6345.831863160871,5409.960701159174,6691.64256777853,5704.771903593057
CY,2015,26,26,37180.0,35900.0,1280.0,1430.0,400.0,0.0,9100.0,17140.0,2010.0,3610.0,233568201.0,200509983.0,253253329.0106704,217408964.3933291,26,1.0,1430.0,1430.0,1430.0,0.46100053792361484,18.497512437810947,6282.092549757935,5392.952743410436,6811.547310668919,5847.470801326765
CY,2016,26,26,43810.0,42470.0,1340.0,1685.0,535.0,0.0,10525.0,22255.0,2040.0,3630.0,217943124.0,193764452.0,243269959.48163283,216281521.16889355,26,1.0,1685.0,1685.0,1685.0,0.5079890435973522,21.475490196078432,4974.7346267975345,4422.8361561287375,5552.840892071053,4936.807148342697
CY,2017,26,26,45173.0,43701.0,1472.0,1737.423076923077,548.0,36.0,10927.0,23555.0,2047.0,3723.0,235551219.0,200697023.0,263002352.54973066,224086249.36357218,26,1.0,1737.423076923077,1737.423076923077,1737.423076923077,0.5214397981094901,22.06790425012213,5214.4249662408965,4442.853540831913,5822.1139297751015,4960.623588505793
CY,2018,26,26,47771.0,46271.0,1500.0,1837.3461538461538,758.0,47.0,12093.0,26573.0,2082.0,3869.0,239464702.0,206895990.0,265150933.53529853,229088731.80486447,26,1.0,1837.3461538461538,1837.3461538461538,1837.3461538461538,0.5562579807833204,22.9447646493756,5012.763015218438,4330.995583094346,5550.458092468203,4795.560733601233
CY,2019,26,26,47647.0,46072.0,1575.0,1832.576923076923,695.5,59.0,12652.0,27456.0,2158.0,3918.0,272294114.0,234481548.0,301132688.1456439,259315406.53791666,26,1.0,1832.576923076923,1832.576923076923,1832.576923076923,0.5762377484416648,22.07924003707136,5714.821793607152,4921.2237496589505,6320.076566114212,5442.428831572117
CY,2020,26,26,51247.0,49585.0,1662.0,1971.0384615384614,690.0,68.0,13960.0,29245.0,1805.0,3902.0,270873212.0,233305906.0,299092928.9382531,257611840.79041657,26,1.0,1971.0384615384614,1971.0384615384614,1971.0384615384614,0.570667551271294,28.39168975069252,5285.640369192343,4552.576853279216,5836.301226184032,5026.8667588427925
CY,2021,28,28,50177.0,48458.0,1719.0,1929.8846153846155,488.0,70.0,14810.0,28951.0,1837.0,3740.0,304064865.0,247813733.0,331744280.8139966,270372535.90583956,26,0.9285714285714286,1929.8846153846155,1792.0357142857142,1792.0357142857142,0.5769774996512347,27.314643440391944,6059.845447117205,4938.79133866114,6611.480973633271,5388.375867545679
CY,2022,28,28,50701.0,48965.0,1736.0,1810.75,433.5,71.0,13588.0,29049.0,1843.0,4056.0,297046979.0,270283569.0,324687282.6879418,295433529.97307825,28,1.0,1810.75,1810.75,1810.75,0.5729472791463679,27.510037981551818,5858.799215005622,5330.931717323129,6403.962105046089,5826.9763904672145
CY,2023,31,31,56503.0,54796.0,1707.0,1822.6774193548388,444.0,47.0,13334.0,31731.0,2537.0,4567.0,354355357.0,311713126.0,391263648.19818276,344179966.4115698,31,1.0,1822.6774193548388,1822.6774193548388,1822.6774193548388,0.5615808010194149,22.271580607016162,6271.443233102667,5516.753552908695,6924.652641420505,6091.357386538233
CZ,2014,71,71,356655.0,332020.0,24635.0,5023.30985915493,995.0,0.0,48175.0,41555.0,16845.0,30535.0,1843955798.5909352,1818766452.643812,2864882209.859338,2825746505.447631,71,1.0,5023.30985915493,5023.30985915493,5023.30985915493,0.11651315697242433,21.172751558325913,5170.138645444295,5099.51200079576,8032.6427776404025,7922.912914294292
CZ,2015,68,68,335185.0,310975.0,24210.0,4929.191176470588,870.0,0.0,47430.0,42565.0,22465.0,41410.0,1832622959.7859159,1815651597.1993108,2778312504.9322824,2752583399.7454667,68,1.0,4929.191176470588,4929.191176470588,4929.191176470588,0.12698957292241597,14.920320498553306,5467.496933889988,5416.864111458779,8288.892715760796,8212.131807048247
CZ,2016,67,67,320220.0,296620.0,23600.0,4779.4029850746265,1025.0,0.0,46950.0,44020.0,22085.0,40620.0,1811007401.756307,1787969657.136939,2704217386.6906753,2669817157.575423,67,1.0,4779.4029850746265,4779.4029850746265,4779.4029850746265,0.13746799075635502,14.499434004980756,5655.509967385881,5583.566476600272,8444.873482888874,8337.446622869973
CZ,2017,67,67,307233.0,284667.0,22566.0,4585.567164179104,1065.0,0.0,46255.0,44135.0,22424.406000000003,41400.039,1942990290.4444275,1919526479.5662081,2827733960.575153,2793585866.685463,67,1.0,4585.567164179104,4585.567164179104,4585.567164179104,0.1436531882968301,13.70083113907231,6324.158832040918,6247.787443296157,9203.87445546264,9092.72723530826
CZ,2018,65,65,297480.0,275791.0,21689.0,4576.615384615385,1093.0,0.0,45482.0,45080.0,23267.84,43019.187,2276607740.476469,2241005149.53016,3200491063.6665115,3150440379.86132,65,1.0,4576.615384615385,4576.615384615385,4576.615384615385,0.15153959930079333,12.78502860600726,7652.977479079162,7533.296858713728,10758.676427546428,10590.427524073282
CZ,2019,62,62,296655.0,275448.0,21207.0,4784.758064516129,1410.5,0.0,45810.0,46816.0,24147.717,45514.827000000005,,2408514718.7549667,,3323919939.2726,62,1.0,4784.758064516129,4784.758064516129,4784.758064516129,0.15781294770019047,12.285012285012284,,8118.908222531111,,11204.665147301073
CZ,2020,60,60,307726.0,285829.0,21897.0,5128.766666666666,1466.0,0.0,48865.0,50455.0,24234.294,45763.185000000005,,2303730933.8559813,,3204302981.900966,60,1.0,5128.766666666666,5128.766666666666,5128.766666666666,0.16396079629280594,12.697956045263789,,7486.305784548531,,10412.844484707064
