country_code,year,institutions_count,institutions_with_student_data,student_coverage_share,avg_observed_institution_size,students_per_registered_institution,records_with_complete_isced_structure,complete_isced_structure_share,isced_structure_coverage_flag,isced_shares_reliable,total_students,total_students_reliable,students_total_reliable,students_total_calc,students_total_with_observed_isced8,students_total_component_sum_complete_records,students_total_component_sum_incomplete_records,students_total_component_sum_incomplete_students,students_total_component_sum_incomplete_share,students_isced5,students_isced6,students_isced7,students_isced8,isced5_share_observed,isced6_share_observed,isced7_share_observed,isced8_share_observed,isced5_share_reliable,isced6_share_reliable,isced7_share_reliable,isced8_share_reliable,isced5_share,isced6_share,isced7_share,isced8_share,phd_share,phd_share_observed,phd_share_reliable,foreign_students_total,foreign_students_total_with_observed_isced8,foreign_total_component_sum_complete_records,foreign_total_component_sum_incomplete_records,foreign_total_component_sum_incomplete_students,foreign_total_component_sum_incomplete_share,foreign_students_share,foreign_students_isced5_share,foreign_students_isced6_share,foreign_students_isced7_share,foreign_students_isced8_share,foreign_students_share_aggregate_unmatched,foreign_students_share_pair_numerator,foreign_students_share_pair_denominator,foreign_students_share_pair_records,foreign_students_share_pair_institutions,foreign_students_share_pair_record_coverage,foreign_students_share_denominator_coverage
ES,2015,82,82,1.0,18882.19512195122,18882.19512195122,82,1.0,high,True,1548340.0,1548340.0,True,1410705.0,82,0,0,,0.0,0.0,1184050.0,171040.0,55615.0,0.0,0.8393321069961474,0.12124434236782318,0.0394235506360295,0.0,0.8393321069961474,0.12124434236782318,0.0394235506360295,0.0,0.8393321069961474,0.12124434236782318,0.0394235506360295,0.0394235506360295,0.0394235506360295,0.0394235506360295,101910.0,82,0,0,,0.0,0.06581887699084181,,0.037654659853891305,0.2005378858746492,0.24624651622763644,0.06581887699084181,101910.0,1548340.0,82,82,1.0,1.0
ES,2016,82,82,1.0,19084.69512195122,19084.69512195122,82,1.0,high,True,1564945.0,1564945.0,True,1449460.0,82,0,0,,0.0,0.0,1187755.0,190155.0,71550.0,0.0,0.8194465525092103,0.13119023636388724,0.04936321112690243,0.0,0.8194465525092103,0.13119023636388724,0.04936321112690243,0.0,0.8194465525092103,0.13119023636388724,0.04936321112690243,0.04936321112690243,0.04936321112690243,0.04936321112690243,114275.0,82,0,0,,0.0,0.07302173558815166,,0.040681790436579934,0.20388630327890406,0.2493361285814116,0.07302173558815166,114275.0,1564945.0,82,82,1.0,1.0
ES,2017,82,82,1.0,19305.182926829268,19305.182926829268,82,1.0,high,True,1583025.0,1583025.0,True,1482448.0,82,0,0,,0.0,0.0,1187214.0,209754.0,85480.0,0.0,0.8008469774319235,0.14149164085350718,0.057661381714569415,0.0,0.8008469774319235,0.14149164085350718,0.057661381714569415,0.0,0.8008469774319235,0.14149164085350718,0.057661381714569415,0.057661381714569415,0.057661381714569415,0.057661381714569415,127597.0,82,0,0,,0.0,0.08060327537467822,,0.04420348816641313,0.20764323922308991,0.25825924192793637,0.08060327537467822,127597.0,1583025.0,82,82,1.0,1.0
ES,2018,83,83,1.0,19265.66265060241,19265.66265060241,83,1.0,high,True,1599050.0,1599050.0,True,1500938.0,83,0,0,,0.0,0.0,1192343.0,217840.0,90755.0,0.0,0.7943985694279178,0.14513590834531473,0.06046552222676753,0.0,0.7943985694279178,0.14513590834531473,0.06046552222676753,0.0,0.7943985694279178,0.14513590834531473,0.06046552222676753,0.06046552222676753,0.06046552222676753,0.06046552222676753,137914.0,83,0,0,,0.0,0.08624745942903599,,0.047592010017251746,0.21473099522585384,0.26665197509779076,0.08624745942903599,137914.0,1599050.0,83,83,1.0,1.0
ES,2019,83,83,1.0,19592.21686746988,19592.21686746988,83,1.0,high,True,1626154.0,1626154.0,True,1528688.0,83,0,0,,0.0,0.0,1198913.0,237118.0,92657.0,0.0,0.7842757972849921,0.1551120961242582,0.06061210659074971,0.0,0.7842757972849921,0.1551120961242582,0.06061210659074971,0.0,0.7842757972849921,0.1551120961242582,0.06061210659074971,0.06061210659074971,0.06061210659074971,0.06061210659074971,153042.0,83,0,0,,0.0,0.09411285769982425,,0.051384879469986565,0.2321333681964254,0.27641732410934955,0.09411285769982425,153042.0,1626154.0,83,83,1.0,1.0
ES,2020,84,84,1.0,19988.77380952381,19988.77380952381,84,1.0,high,True,1679057.0,1679057.0,True,1581371.0,84,0,0,,0.0,0.0,1238323.0,247251.0,95797.0,0.0,0.7830692481397471,0.15635230442445194,0.06057844743580096,0.0,0.7830692481397471,0.15635230442445194,0.06057844743580096,0.0,0.7830692481397471,0.15635230442445194,0.06057844743580096,0.06057844743580096,0.06057844743580096,0.06057844743580096,155919.0,84,0,0,,0.0,0.09286105236451175,,0.05289573075845316,0.21201127599079478,0.2780254078937754,0.09286105236451175,155919.0,1679057.0,84,84,1.0,1.0
ES,2021,86,86,1.0,19746.96511627907,19746.96511627907,86,1.0,high,True,1698239.0,1698239.0,True,1600207.0,86,0,0,,0.0,0.0,1235535.0,266923.0,97749.0,0.0,0.7721094833355935,0.16680529456501564,0.06108522209939089,0.0,0.7721094833355935,0.16680529456501564,0.06108522209939089,0.0,0.7721094833355935,0.16680529456501564,0.06108522209939089,0.06108522209939089,0.06108522209939089,0.06108522209939089,170222.0,86,0,0,,0.0,0.10023441930140575,,0.05543428555241252,0.23337441883989016,0.2835936940531361,0.10023441930140575,170222.0,1698239.0,86,86,1.0,1.0
ES,2022,89,89,1.0,19336.79775280899,19336.79775280899,89,1.0,high,True,1720975.0,1720975.0,True,1621625.0,89,0,0,,0.0,0.0,1244386.0,280012.0,97227.0,0.0,0.7673697679796501,0.17267370692977724,0.059956525090572726,0.0,0.7673697679796501,0.17267370692977724,0.059956525090572726,0.0,0.7673697679796501,0.17267370692977724,0.059956525090572726,0.059956525090572726,0.059956525090572726,0.059956525090572726,180563.0,89,0,0,,0.0,0.10491901393105653,,0.057610741361603234,0.24556090453266288,0.286772192909377,0.10491901393105653,180563.0,1720975.0,89,89,1.0,1.0
ES,2023,91,91,1.0,19316.604395604394,19316.604395604394,91,1.0,high,True,1757811.0,1757811.0,True,1654963.0,91,0,0,,0.0,0.0,1265305.0,290236.0,99422.0,0.0,0.7645518359020715,0.1753731050180578,0.060075059079870666,0.0,0.7645518359020715,0.1753731050180578,0.060075059079870666,0.0,0.7645518359020715,0.1753731050180578,0.060075059079870666,0.060075059079870666,0.060075059079870666,0.060075059079870666,196567.0,91,0,0,,0.0,0.11182487764611782,,0.06062490861887055,0.2691602695737262,0.28977489891573294,0.11182487764611782,196567.0,1757811.0,91,91,1.0,1.0
FI,2014,41,41,1.0,7377.317073170731,7377.317073170731,41,1.0,high,True,302470.0,302470.0,True,297170.0,41,0,0,,0.0,0.0,219350.0,57960.0,19860.0,0.0,0.7381296900763873,0.195039876165158,0.06683043375845475,0.0,0.7381296900763873,0.195039876165158,0.06683043375845475,0.0,0.7381296900763873,0.195039876165158,0.06683043375845475,0.06683043375845475,0.06683043375845475,0.06683043375845475,20255.0,41,0,0,,0.0,0.06696531887459914,,0.04527011625256439,0.11809868875086266,0.17472306143001007,0.06696531887459914,20255.0,302470.0,41,41,1.0,1.0
