country_code,year,metric,exclusion_reason,student_coverage_share,complete_isced_structure_share
UK,2020,isced7_share,metric_missing_or_unreliable_after_coverage_filter,,
UK,2021,isced7_share,metric_missing_or_unreliable_after_coverage_filter,,
UK,2023,isced7_share,metric_missing_or_unreliable_after_coverage_filter,,
VA,2017,isced7_share,metric_missing_or_unreliable_after_coverage_filter,,
VA,2018,isced7_share,metric_missing_or_unreliable_after_coverage_filter,,
VA,2019,isced7_share,metric_missing_or_unreliable_after_coverage_filter,,
VA,2020,isced7_share,metric_missing_or_unreliable_after_coverage_filter,,
VA,2021,isced7_share,metric_missing_or_unreliable_after_coverage_filter,,
XK,2017,isced7_share,metric_missing_or_unreliable_after_coverage_filter,,
XK,2018,isced7_share,metric_missing_or_unreliable_after_coverage_filter,,
XK,2019,isced7_share,metric_missing_or_unreliable_after_coverage_filter,,
XK,2022,isced7_share,metric_missing_or_unreliable_after_coverage_filter,,
XK,2023,isced7_share,metric_missing_or_unreliable_after_coverage_filter,,
AD,2017,isced8_share,metric_missing_or_unreliable_after_coverage_filter,,
AD,2018,isced8_share,metric_missing_or_unreliable_after_coverage_filter,,
AD,2019,isced8_share,metric_missing_or_unreliable_after_coverage_filter,,
AD,2020,isced8_share,metric_missing_or_unreliable_after_coverage_filter,,
AD,2021,isced8_share,metric_missing_or_unreliable_after_coverage_filter,,
AD,2022,isced8_share,metric_missing_or_unreliable_after_coverage_filter,,
AD,2023,isced8_share,metric_missing_or_unreliable_after_coverage_filter,,
AL,2013,isced8_share,metric_missing_or_unreliable_after_coverage_filter,,
AL,2014,isced8_share,metric_missing_or_unreliable_after_coverage_filter,,
AL,2015,isced8_share,metric_missing_or_unreliable_after_coverage_filter,,
AL,2016,isced8_share,metric_missing_or_unreliable_after_coverage_filter,,
AL,2022,isced8_share,metric_missing_or_unreliable_after_coverage_filter,,
AL,2023,isced8_share,metric_missing_or_unreliable_after_coverage_filter,,
BE,2014,isced8_share,metric_missing_or_unreliable_after_coverage_filter,,
BE,2015,isced8_share,metric_missing_or_unreliable_after_coverage_filter,,
BE,2016,isced8_share,metric_missing_or_unreliable_after_coverage_filter,,
BE,2017,isced8_share,metric_missing_or_unreliable_after_coverage_filter,,
BE,2018,isced8_share,metric_missing_or_unreliable_after_coverage_filter,,
BE,2019,isced8_share,metric_missing_or_unreliable_after_coverage_filter,,
BE,2020,isced8_share,metric_missing_or_unreliable_after_coverage_filter,,
BE,2021,isced8_share,metric_missing_or_unreliable_after_coverage_filter,,
BE,2022,isced8_share,metric_missing_or_unreliable_after_coverage_filter,,
BE,2023,isced8_share,metric_missing_or_unreliable_after_coverage_filter,,
DK,2014,isced8_share,metric_missing_or_unreliable_after_coverage_filter,,
FR,2014,isced8_share,metric_missing_or_unreliable_after_coverage_filter,,
FR,2015,isced8_share,metric_missing_or_unreliable_after_coverage_filter,,
FR,2017,isced8_share,metric_missing_or_unreliable_after_coverage_filter,,
FR,2018,isced8_share,metric_missing_or_unreliable_after_coverage_filter,,
FR,2019,isced8_share,metric_missing_or_unreliable_after_coverage_filter,,
FR,2020,isced8_share,metric_missing_or_unreliable_after_coverage_filter,,
FR,2021,isced8_share,metric_missing_or_unreliable_after_coverage_filter,,
FR,2022,isced8_share,metric_missing_or_unreliable_after_coverage_filter,,
FR,2023,isced8_share,metric_missing_or_unreliable_after_coverage_filter,,
IS,2015,isced8_share,metric_missing_or_unreliable_after_coverage_filter,,
IS,2016,isced8_share,metric_missing_or_unreliable_after_coverage_filter,,
IS,2020,isced8_share,metric_missing_or_unreliable_after_coverage_filter,,
IS,2021,isced8_share,metric_missing_or_unreliable_after_coverage_filter,,
IS,2022,isced8_share,metric_missing_or_unreliable_after_coverage_filter,,
IS,2023,isced8_share,metric_missing_or_unreliable_after_coverage_filter,,
LT,2015,isced8_share,metric_missing_or_unreliable_after_coverage_filter,,
LT,2016,isced8_share,metric_missing_or_unreliable_after_coverage_filter,,
LT,2018,isced8_share,metric_missing_or_unreliable_after_coverage_filter,,
LT,2020,isced8_share,metric_missing_or_unreliable_after_coverage_filter,,
LT,2021,isced8_share,metric_missing_or_unreliable_after_coverage_filter,,
